Alimento,Quantita
Agnello,g 150 (1 bistecca)
Coniglio,g 150(1 bistecca)
Coscia di pollo,g 150, (2 cosce)
Hamburger di manzo,g 150 (1 burger)
Hamburger di pollo,g 150 (1 burger)
Maiale bistecca,g 150 (1 bistecca)
Maiale magro,g 150(1 bistecca)
Manzo magro,g 150(1 bistecca)
Petto di pollo,g 150 (2 fette)
Petto di tacchino,g 150 (2 fette)
Vitello magro,g 150(1 bistecca)
