Alimento,Quantita
Torta al cioccolato,g 80
Croissant alla marmellata,g 90
Crostata alla marmellata,g 80
Crostata con crema al cioccolato,g 80
Pancakes,g 130
Torta di carote,g 80
Torta margherita,g 80
