Alimento,Quantita
Frollini con cioccolato,g 50
Barrette ai cereali e cacao,g 50
Biscotti leggeri con cioccolato,g 60
Fiocchi di frumento integrale al cioccolato,g 60
Fiocchi di mais al cioccolato,g 60
Riso soffiato al cioccolato,g 60
Wafers,g 50
