,Alimento,Quantita,giorno,pasto,tipo
0,Mele,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Monday,Merenda,Frutta_Fresca
0,Marmellata,1 cucchiaino,Monday,Merenda,Marmellata
0,Noci secche,g 10,Monday,Merenda,Noci
1,Anacardi,g 10,Monday,Merenda,Noci
2,Mandorle,g 10,Monday,Merenda,Noci
3,Nocciole,g 10,Monday,Merenda,Noci
0,Yogurt da latte intero,1 vasetto,Monday,Merenda,Yogurt
0,Asparagi,,Monday,Cena,Contorni
1,Bieta,,Monday,Cena,Contorni
2,Carote,,Monday,Cena,Contorni
3,Cetrioli,,Monday,Cena,Contorni
4,Cicoria,,Monday,Cena,Contorni
5,Cime di rapa,,Monday,Cena,Contorni
6,Cipolle,,Monday,Cena,Contorni
7,Fagiolini,,Monday,Cena,Contorni
8,Finocchi,,Monday,Cena,Contorni
9,Insalata mista,,Monday,Cena,Contorni
10,Lattuga,,Monday,Cena,Contorni
11,Melanzane,,Monday,Cena,Contorni
12,Peperoni,,Monday,Cena,Contorni
13,Pomodori,,Monday,Cena,Contorni
14,Spinaci,,Monday,Cena,Contorni
15,Zucchine,,Monday,Cena,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Monday,Cena,Frutta_Fresca
0,Tisana,1 tazza,Monday,Cena,Spuntino_Serale
1,Camomilla,1 tazza,Monday,Cena,Spuntino_Serale
0,Uovo di gallina, n° 2,Monday,Cena,Uova
0,Olio, 5 cucchiaini,Monday,Arco_Della_Giornata,Olio
0,Caffè,1 Tazzina,Saturday,Colazione,Caffe
1,Caffè decaffeinato,1 Tazzina,Saturday,Colazione,Caffe
0,Sciroppo d'acero,3 cucchiaini,Saturday,Colazione,Condimenti_Pancakes
1,Miele di acacia,2 cucchiaini,Saturday,Colazione,Condimenti_Pancakes
2,Zucchero,2 cucchiaini,Saturday,Colazione,Condimenti_Pancakes
0,Latte Parzialmente scremato di vacca,g 200,Saturday,Colazione,Latte
0,farina integrale,g 40,Saturday,Colazione,Pancakes
1,Latte parzialmente scremato di vacca,g 100,Saturday,Colazione,Pancakes
2,Uovo di gallina,n° 1,Saturday,Colazione,Pancakes
0,Asparagi,,Saturday,Pranzo,Contorni
1,Bieta,,Saturday,Pranzo,Contorni
2,Carote,,Saturday,Pranzo,Contorni
3,Cetrioli,,Saturday,Pranzo,Contorni
4,Cicoria,,Saturday,Pranzo,Contorni
5,Cime di rapa,,Saturday,Pranzo,Contorni
6,Cipolle,,Saturday,Pranzo,Contorni
7,Fagiolini,,Saturday,Pranzo,Contorni
8,Finocchi,,Saturday,Pranzo,Contorni
9,Insalata mista,,Saturday,Pranzo,Contorni
10,Lattuga,,Saturday,Pranzo,Contorni
11,Melanzane,,Saturday,Pranzo,Contorni
12,Peperoni,,Saturday,Pranzo,Contorni
13,Pomodori,,Saturday,Pranzo,Contorni
14,Spinaci,,Saturday,Pranzo,Contorni
15,Zucchine,,Saturday,Pranzo,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Saturday,Pranzo,Frutta_Fresca
0,Taco di frumento hummus e melanzane,,Saturday,Pranzo,Tacos Vegetariani
1,Taco di mais hummus e funghi,,Saturday,Pranzo,Tacos Vegetariani
2,Taco di mais hummus e pomodori,,Saturday,Pranzo,Tacos Vegetariani
3,Taco di mais hummus e zucchine,,Saturday,Pranzo,Tacos Vegetariani
0,Cookies al cioccolato,g 30,Saturday,Merenda,Derivati_Dei_Cereali_Farciti
1,Barrette ai cereali e cacao,g 30,Saturday,Merenda,Derivati_Dei_Cereali_Farciti
2,Biscotti leggeri con cioccolato,g 30,Saturday,Merenda,Derivati_Dei_Cereali_Farciti
3,Fiocchi di frumento integrale al cioccolato,g 40,Saturday,Merenda,Derivati_Dei_Cereali_Farciti
4,Fiocchi di mais al cioccolato,g 40,Saturday,Merenda,Derivati_Dei_Cereali_Farciti
5,Frollini con cioccolato,g 30,Saturday,Merenda,Derivati_Dei_Cereali_Farciti
6,Riso soffiato al cioccolato,g 40,Saturday,Merenda,Derivati_Dei_Cereali_Farciti
7,Wafers,g 30,Saturday,Merenda,Derivati_Dei_Cereali_Farciti
0,Pasto Libero,,Saturday,Cena,Pasto Libero
0,Olio, 5 cucchiaini,Saturday,Arco_Della_Giornata,Olio
0,Pane bianco,g 40,Saturday,Arco_Della_Giornata,Pane
1,Pane integrale,g 50,Saturday,Arco_Della_Giornata,Pane
0,Caffè,1 Tazzina,Sunday,Colazione,Caffe
1,Caffè decaffeinato,1 Tazzina,Sunday,Colazione,Caffe
0,Torta al cioccolato,g 80,Sunday,Colazione,Dolci_Da_Forno
1,Croissant alla marmellata,g 90,Sunday,Colazione,Dolci_Da_Forno
2,Crostata alla marmellata,g 80,Sunday,Colazione,Dolci_Da_Forno
3,Crostata con crema al cioccolato,g 80,Sunday,Colazione,Dolci_Da_Forno
4,Pancakes,g 130,Sunday,Colazione,Dolci_Da_Forno
5,Torta di carote,g 80,Sunday,Colazione,Dolci_Da_Forno
6,Torta margherita,g 80,Sunday,Colazione,Dolci_Da_Forno
0,Mele,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Sunday,Colazione,Frutta_Fresca
0,Latte Parzialmente scremato di vacca,g 200,Sunday,Colazione,Latte
0,Bresaola,g 80,Sunday,Pranzo,Carne_Conservata
1,Fesa di pollo arrosto,g 100,Sunday,Pranzo,Carne_Conservata
2,Fesa di tacchino arrosto,g 100,Sunday,Pranzo,Carne_Conservata
3,Prosciutto cotto,g 80,Sunday,Pranzo,Carne_Conservata
4,Prosciutto crudo magro,g 80,Sunday,Pranzo,Carne_Conservata
0,Asparagi,,Sunday,Pranzo,Contorni
1,Bieta,,Sunday,Pranzo,Contorni
2,Carote,,Sunday,Pranzo,Contorni
3,Cetrioli,,Sunday,Pranzo,Contorni
4,Cicoria,,Sunday,Pranzo,Contorni
5,Cime di rapa,,Sunday,Pranzo,Contorni
6,Cipolle,,Sunday,Pranzo,Contorni
7,Fagiolini,,Sunday,Pranzo,Contorni
8,Finocchi,,Sunday,Pranzo,Contorni
9,Insalata mista,,Sunday,Pranzo,Contorni
10,Lattuga,,Sunday,Pranzo,Contorni
11,Melanzane,,Sunday,Pranzo,Contorni
12,Peperoni,,Sunday,Pranzo,Contorni
13,Pomodori,,Sunday,Pranzo,Contorni
14,Spinaci,,Sunday,Pranzo,Contorni
15,Zucchine,,Sunday,Pranzo,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Sunday,Pranzo,Frutta_Fresca
0,Pasta di farro,g 80,Sunday,Pranzo,Pasta
1,Pasta di semola,g 70,Sunday,Pranzo,Pasta
2,Pasta integrale,g 80,Sunday,Pranzo,Pasta
0,Gelato,,Sunday,Merenda,Gelato
0,Agnello,g 150 (1 bistecca),Sunday,Cena,Carne_Fresca
1,Coniglio,g 150(1 bistecca),Sunday,Cena,Carne_Fresca
2,Coscia di pollo,g 150 (2 cosce),Sunday,Cena,Carne_Fresca
3,Hamburger di manzo,g 150 (1 burger),Sunday,Cena,Carne_Fresca
4,Hamburger di pollo,g 150 (1 burger),Sunday,Cena,Carne_Fresca
5,Maiale bistecca,g 150 (1 bistecca),Sunday,Cena,Carne_Fresca
6,Maiale magro,g 150(1 bistecca),Sunday,Cena,Carne_Fresca
7,Manzo magro,g 150(1 bistecca),Sunday,Cena,Carne_Fresca
8,Petto di pollo,g 150 (2 fette),Sunday,Cena,Carne_Fresca
9,Petto di tacchino,g 150 (2 fette),Sunday,Cena,Carne_Fresca
10,Vitello magro,g 150(1 bistecca),Sunday,Cena,Carne_Fresca
0,Asparagi,,Sunday,Cena,Contorni
1,Bieta,,Sunday,Cena,Contorni
2,Carote,,Sunday,Cena,Contorni
3,Cetrioli,,Sunday,Cena,Contorni
4,Cicoria,,Sunday,Cena,Contorni
5,Cime di rapa,,Sunday,Cena,Contorni
6,Cipolle,,Sunday,Cena,Contorni
7,Fagiolini,,Sunday,Cena,Contorni
8,Finocchi,,Sunday,Cena,Contorni
9,Insalata mista,,Sunday,Cena,Contorni
10,Lattuga,,Sunday,Cena,Contorni
11,Melanzane,,Sunday,Cena,Contorni
12,Peperoni,,Sunday,Cena,Contorni
13,Pomodori,,Sunday,Cena,Contorni
14,Spinaci,,Sunday,Cena,Contorni
15,Zucchine,,Sunday,Cena,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Sunday,Cena,Frutta_Fresca
0,Pane bianco,g90,Sunday,Cena,Pane
1,Pane integrale,g110,Sunday,Cena,Pane
0,Olio, 5 cucchiaini,Sunday,Arco_Della_Giornata,Olio
0,Caffè,1 Tazzina,Thursday,Colazione,Caffe
1,Caffè decaffeinato,1 Tazzina,Thursday,Colazione,Caffe
0,Muesli,g 30,Thursday,Colazione,Derivati_dei_Cereali
1,Biscotti ai cereali,g 30,Thursday,Colazione,Derivati_dei_Cereali
2,Biscotti integrali,g 30,Thursday,Colazione,Derivati_dei_Cereali
3,Biscotti secchi,g 30,Thursday,Colazione,Derivati_dei_Cereali
4,Farro soffiato g,30,Thursday,Colazione,Derivati_dei_Cereali
5,Fette biscottate,g 30,Thursday,Colazione,Derivati_dei_Cereali
