,Alimento,Quantita,giorno,pasto,tipo
0,Burro di vacca,g 10,Friday,Colazione,Burro
1,Burro di vacca light,g 10,Friday,Colazione,Burro
0,Caffè,1 Tazzina,Friday,Colazione,Caffe
1,Caffè decaffeinato,1 Tazzina,Friday,Colazione,Caffe
0,Mele,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Friday,Colazione,Frutta_Fresca
0,Latte Parzialmente scremato di vacca,g 200,Friday,Colazione,Latte
0,Marmellata,2 cucchiaini,Friday,Colazione,Marmellata
0,Pane bianco,g 50,Friday,Colazione,Pane
1,Pane integrale,g 60,Friday,Colazione,Pane
0,Asparagi,,Friday,Pranzo,Contorni
1,Bieta,,Friday,Pranzo,Contorni
2,Carote,,Friday,Pranzo,Contorni
3,Cetrioli,,Friday,Pranzo,Contorni
4,Cicoria,,Friday,Pranzo,Contorni
5,Cime di rapa,,Friday,Pranzo,Contorni
6,Cipolle,,Friday,Pranzo,Contorni
7,Fagiolini,,Friday,Pranzo,Contorni
8,Finocchi,,Friday,Pranzo,Contorni
9,Insalata mista,,Friday,Pranzo,Contorni
10,Lattuga,,Friday,Pranzo,Contorni
11,Melanzane,,Friday,Pranzo,Contorni
12,Peperoni,,Friday,Pranzo,Contorni
13,Pomodori,,Friday,Pranzo,Contorni
14,Spinaci,,Friday,Pranzo,Contorni
15,Zucchine,,Friday,Pranzo,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Friday,Pranzo,Frutta_Fresca
0,Pasta di farro,g 80,Friday,Pranzo,Pasta
1,Pasta di semola,g 70,Friday,Pranzo,Pasta
2,Pasta integrale,g 80,Friday,Pranzo,Pasta
0,Uovo di gallina, n° 2,Friday,Pranzo,Uova
0,Mele,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Friday,Merenda,Frutta_Fresca
0,Marmellata,1 cucchiaino,Friday,Merenda,Marmellata
0,Noci secche,g 10,Friday,Merenda,Noci
1,Anacardi,g 10,Friday,Merenda,Noci
2,Mandorle,g 10,Friday,Merenda,Noci
3,Nocciole,g 10,Friday,Merenda,Noci
0,Yogurt da latte intero,1 vasetto,Friday,Merenda,Yogurt
0,Asparagi,,Friday,Cena,Contorni
1,Bieta,,Friday,Cena,Contorni
2,Carote,,Friday,Cena,Contorni
3,Cetrioli,,Friday,Cena,Contorni
4,Cicoria,,Friday,Cena,Contorni
5,Cime di rapa,,Friday,Cena,Contorni
6,Cipolle,,Friday,Cena,Contorni
7,Fagiolini,,Friday,Cena,Contorni
8,Finocchi,,Friday,Cena,Contorni
9,Insalata mista,,Friday,Cena,Contorni
10,Lattuga,,Friday,Cena,Contorni
11,Melanzane,,Friday,Cena,Contorni
12,Peperoni,,Friday,Cena,Contorni
13,Pomodori,,Friday,Cena,Contorni
14,Spinaci,,Friday,Cena,Contorni
15,Zucchine,,Friday,Cena,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Friday,Cena,Frutta_Fresca
0,Pane bianco,g60,Friday,Cena,Pane
1,Pane integrale,g70,Friday,Cena,Pane
0,Calamari,g 200,Friday,Cena,Pesce_Fresco
1,Coda di rospo,g 200,Friday,Cena,Pesce_Fresco
2,Dentice,g 200,Friday,Cena,Pesce_Fresco
3,Gamberi,g 200 (6 gamberoni o 40 gamberetti),Friday,Cena,Pesce_Fresco
4,Merluzzo o Nasello,g 200,Friday,Cena,Pesce_Fresco
5,Orata,g 200,Friday,Cena,Pesce_Fresco
6,Pesce spada,g 200,Friday,Cena,Pesce_Fresco
7,Platessa,g 200,Friday,Cena,Pesce_Fresco
8,Polpo,g 200,Friday,Cena,Pesce_Fresco
9,Salmone fresco,g 200,Friday,Cena,Pesce_Fresco
10,Seppie,g 200,Friday,Cena,Pesce_Fresco
11,Sgombro,g 200,Friday,Cena,Pesce_Fresco
12,Spigola,g 200,Friday,Cena,Pesce_Fresco
13,Tonno,g 200,Friday,Cena,Pesce_Fresco
14,Cozze, 50 circa,Friday,Cena,Pesce_Fresco
0,Olio, 5 cucchiaini,Friday,Arco_Della_Giornata,Olio
0,Caffè,1 Tazzina,Monday,Colazione,Caffe
1,Caffè decaffeinato,1 Tazzina,Monday,Colazione,Caffe
0,Frollini con cioccolato,g 50,Monday,Colazione,Derivati_Dei_Cereali_Farciti
1,Barrette ai cereali e cacao,g 50,Monday,Colazione,Derivati_Dei_Cereali_Farciti
2,Biscotti leggeri con cioccolato,g 60,Monday,Colazione,Derivati_Dei_Cereali_Farciti
3,Fiocchi di frumento integrale al cioccolato,g 60,Monday,Colazione,Derivati_Dei_Cereali_Farciti
4,Fiocchi di mais al cioccolato,g 60,Monday,Colazione,Derivati_Dei_Cereali_Farciti
5,Riso soffiato al cioccolato,g 60,Monday,Colazione,Derivati_Dei_Cereali_Farciti
6,Wafers,g 50,Monday,Colazione,Derivati_Dei_Cereali_Farciti
0,Mele,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Monday,Colazione,Frutta_Fresca
0,Latte Parzialmente scremato di vacca,g 200,Monday,Colazione,Latte
0,Asparagi,,Monday,Pranzo,Contorni
1,Bieta,,Monday,Pranzo,Contorni
2,Carote,,Monday,Pranzo,Contorni
3,Cetrioli,,Monday,Pranzo,Contorni
4,Cicoria,,Monday,Pranzo,Contorni
5,Cime di rapa,,Monday,Pranzo,Contorni
6,Cipolle,,Monday,Pranzo,Contorni
7,Fagiolini,,Monday,Pranzo,Contorni
8,Finocchi,,Monday,Pranzo,Contorni
9,Insalata mista,,Monday,Pranzo,Contorni
10,Lattuga,,Monday,Pranzo,Contorni
11,Melanzane,,Monday,Pranzo,Contorni
12,Peperoni,,Monday,Pranzo,Contorni
13,Pomodori,,Monday,Pranzo,Contorni
14,Spinaci,,Monday,Pranzo,Contorni
15,Zucchine,,Monday,Pranzo,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Monday,Pranzo,Frutta_Fresca
0,Ceci secchi,g 70,Monday,Pranzo,Legumi_Secchi
1,Fagioli di soia secchi,g 60,Monday,Pranzo,Legumi_Secchi
2,Fagioli secchi,g 80,Monday,Pranzo,Legumi_Secchi
3,Fave secche,g 70,Monday,Pranzo,Legumi_Secchi
4,Lenticchie secche,g 80,Monday,Pranzo,Legumi_Secchi
5,Piselli secchi,g 80,Monday,Pranzo,Legumi_Secchi
0,Pane bianco,g 80,Monday,Pranzo,Pane
1,Pane integrale,g 100,Monday,Pranzo,Pane
