Alimento,Quantita
Caciottina,g 50
Crescenza,g 100
Feta,g 100
Formaggio cremoso,g 100
Galbanino,g 50
Mozzarella,g 100
Parmigiano,g 50
Ricotta di vacca, g 100
Scamorza, g 50
Stracchino,g 100
