Alimento,Quantita
Cookies al cioccolato,g 30
Barrette ai cereali e cacao,g 30
Biscotti leggeri con cioccolato,g 30
Fiocchi di frumento integrale al cioccolato,g 40
Fiocchi di mais al cioccolato,g 40
Frollini con cioccolato,g 30
Riso soffiato al cioccolato,g 40
Wafers,g 30
