Alimento,Quantita
Calamari,g 200
Coda di rospo,g 200
Dentice,g 200
Gamberi,g 200 (6 gamberoni o 40 gamberetti)
Merluzzo o Nasello,g 200
Orata,g 200
Pesce spada,g 200
Platessa,g 200
Polpo,g 200
Salmone fresco,g 200
Seppie,g 200
Sgombro,g 200
Spigola,g 200
Tonno,g 200
Cozze, 50 circa
